"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 28 10:37:35 CST 2022","Wed Dec 28 10:37:41 CST 2022","5314","test_func","test_func","TestFunc","","","iframe切换后操作",""
"passed","Wed Dec 28 10:36:52 CST 2022","Wed Dec 28 10:37:35 CST 2022","43259","test_func","test_func","TestFunc","","","百度搜索新闻句柄切换",""
